task_type,query,GT_topics,GT_keywords,PRED_topics,PRED_keywords,raw_output,parsed_output
topic和keywords,关于NSAIDs能否预防异位骨化的基础研究有哪些,异位骨化,NSAIDs；基础研究,异位骨化,"NSAIDs, 基础研究","{""data"": {""result"": ""{\""topics\"":\""异位骨化\"",\""keywords\"":\""NSAIDs, 基础研究\""}""}, ""raw_openai"": {""id"": ""chatcmpl-42d2a558c37345818fab6261926734b4"", ""object"": ""chat.completion"", ""created"": 1781077880, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""异位骨化\"",\""keywords\"":\""NSAIDs, 基础研究\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 16, ""total_tokens"": 102}}}","{""topics"": ""异位骨化"", ""keywords"": ""NSAIDs, 基础研究""}"
topic和keywords,ANSWER研究中，人血白蛋白长期应用于失代偿期肝硬化，死亡风险降低多少？,失代偿期肝硬化,ANSWER研究；人血白蛋白；死亡风险,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-8e88802eb8f34524985b92379d5175a8"", ""object"": ""chat.completion"", ""created"": 1781077880, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 96, ""completion_tokens"": 6, ""total_tokens"": 102}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,评价某分子逆转T细胞失能（Anergy）的实验评估方法与指标,,,分子逆转T细胞失能 (Anergy),"实验评估方法, 评估指标","{""data"": {""result"": ""{\""topics\"":\""分子逆转T细胞失能 (Anergy)\"",\""keywords\"":\""实验评估方法, 评估指标\""}""}, ""raw_openai"": {""id"": ""chatcmpl-9f8ecfec0910419ca791c95af770ba40"", ""object"": ""chat.completion"", ""created"": 1781077881, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""分子逆转T细胞失能 (Anergy)\"",\""keywords\"":\""实验评估方法, 评估指标\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 91, ""completion_tokens"": 23, ""total_tokens"": 114}}}","{""topics"": ""分子逆转T细胞失能 (Anergy)"", ""keywords"": ""实验评估方法, 评估指标""}"
topic和keywords,孟德尔分析在临床指南中的证据,孟德尔分析,指南；证据,孟德尔分析,"临床指南, 证据","{""data"": {""result"": ""{\""topics\"":\""孟德尔分析\"",\""keywords\"":\""临床指南, 证据\""}""}, ""raw_openai"": {""id"": ""chatcmpl-bb64941e41ff4b1fba91a854d74e652e"", ""object"": ""chat.completion"", ""created"": 1781077881, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""孟德尔分析\"",\""keywords\"":\""临床指南, 证据\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 83, ""completion_tokens"": 15, ""total_tokens"": 98}}}","{""topics"": ""孟德尔分析"", ""keywords"": ""临床指南, 证据""}"
topic和keywords,干眼的炎症体征和症状有哪些,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-8ea6e02d33fc4fd1a2dfbe39b9e94201"", ""object"": ""chat.completion"", ""created"": 1781077881, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 82, ""completion_tokens"": 6, ""total_tokens"": 88}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,什么是病例对照研究？,病例对照研究,,病例对照研究,"定义, 研究类型, 流行病学方法","{""data"": {""result"": ""{\""topics\"":\""病例对照研究\"",\""keywords\"":\""定义, 研究类型, 流行病学方法\""}""}, ""raw_openai"": {""id"": ""chatcmpl-5c8e818472f94bb1ba3de5b8aecc3acc"", ""object"": ""chat.completion"", ""created"": 1781077882, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""病例对照研究\"",\""keywords\"":\""定义, 研究类型, 流行病学方法\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 80, ""completion_tokens"": 19, ""total_tokens"": 99}}}","{""topics"": ""病例对照研究"", ""keywords"": ""定义, 研究类型, 流行病学方法""}"
topic和keywords,头孢他啶/阿维巴坦临床应用疗程要求及相关循证医学证据,,,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d786d3bbeff94019888bb4c82adde757"", ""object"": ""chat.completion"", ""created"": 1781077882, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 92, ""completion_tokens"": 6, ""total_tokens"": 98}}}","{""topics"": """", ""keywords"": """"}"
topic和keywords,同2009年欧洲感染性心内膜炎诊治指南来比，2023年欧洲感染性心内膜炎诊治指南有哪些更新,心内膜炎,指南更新,感染性心内膜炎,"诊治指南, 2009年, 2023年, 更新","{""data"": {""result"": ""{\""topics\"":\""感染性心内膜炎\"",\""keywords\"":\""诊治指南, 2009年, 2023年, 更新\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b4847e903b6e466aa22921178092e913"", ""object"": ""chat.completion"", ""created"": 1781077883, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""感染性心内膜炎\"",\""keywords\"":\""诊治指南, 2009年, 2023年, 更新\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 107, ""completion_tokens"": 31, ""total_tokens"": 138}}}","{""topics"": ""感染性心内膜炎"", ""keywords"": ""诊治指南, 2009年, 2023年, 更新""}"
topic和keywords,经皮穴位电刺激（TEAS）对妇科手术患者围术期负性情绪、睡眠质量的影响及神经内分泌与炎症机制研究的立项依据与国内外研究现状,,,经皮穴位电刺激（TEAS）,"妇科手术, 围术期, 负性情绪, 睡眠质量, 神经内分泌机制, 炎症机制, 立项依据, 研究现状","{""data"": {""result"": ""{\""topics\"":\""经皮穴位电刺激（TEAS）\"",\""keywords\"":\""妇科手术, 围术期, 负性情绪, 睡眠质量, 神经内分泌机制, 炎症机制, 立项依据, 研究现状\""}""}, ""raw_openai"": {""id"": ""chatcmpl-3347708d681e4e91a0e0a61efbb1a78b"", ""object"": ""chat.completion"", ""created"": 1781077884, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""经皮穴位电刺激（TEAS）\"",\""keywords\"":\""妇科手术, 围术期, 负性情绪, 睡眠质量, 神经内分泌机制, 炎症机制, 立项依据, 研究现状\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 110, ""completion_tokens"": 48, ""total_tokens"": 158}}}","{""topics"": ""经皮穴位电刺激（TEAS）"", ""keywords"": ""妇科手术, 围术期, 负性情绪, 睡眠质量, 神经内分泌机制, 炎症机制, 立项依据, 研究现状""}"
topic和keywords,Kisqali的中国指南推荐,Kisqali,指南,,,"{""data"": {""result"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-4c758493a8c543028e00e08463fe9ce1"", ""object"": ""chat.completion"", ""created"": 1781077884, ""model"": ""qwen35-0.8b-topic-keywords"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""topics\"":\""\"",\""keywords\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 82, ""completion_tokens"": 6, ""total_tokens"": 88}}}","{""topics"": """", ""keywords"": """"}"
