task_type,query,GT_机构名称,GT_国家,PRED_机构名称,PRED_国家,raw_output,parsed_output
机构和国家,肌少症膳食营养处方及运动疗法干预中国专家共识（2025）主要内容及核心要点,中国专家,中国,中国专家,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ea86311c1efc4438bf039ab907344727"", ""object"": ""chat.completion"", ""created"": 1781062332, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 11, ""total_tokens"": 111}}}","{""机构名称"": ""中国专家"", ""国家"": ""中国""}"
机构和国家,2026 SSC research or guidelines,SSC,,SSC,,"{""data"": {""result"": ""{\""机构名称\"":\""SSC\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-41e004200cc140d1a26b139a906375dc"", ""object"": ""chat.completion"", ""created"": 1781062332, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""SSC\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 10, ""total_tokens"": 95}}}","{""机构名称"": ""SSC"", ""国家"": """"}"
机构和国家,什么样的胰腺癌患者可以接受FOLFIRINOX作为一线治疗?,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c31bf00aa40b44a2881bded633103983"", ""object"": ""chat.completion"", ""created"": 1781062332, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 92, ""completion_tokens"": 7, ""total_tokens"": 99}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,中国血脂管理指南2023全文及核心内容,中国血脂管理指南,中国,中国血脂管理指南,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国血脂管理指南\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-4dcdf01eb5ff48aba5f0371ddc547d4f"", ""object"": ""chat.completion"", ""created"": 1781062333, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国血脂管理指南\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 13, ""total_tokens"": 102}}}","{""机构名称"": ""中国血脂管理指南"", ""国家"": ""中国""}"
机构和国家,血清和血浆的区别,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-03906b2d714543c5a1cbe579094f90c4"", ""object"": ""chat.completion"", ""created"": 1781062333, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 81, ""completion_tokens"": 7, ""total_tokens"": 88}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,SPIKES沟通模型在中国医患沟通中的应用效果评价及本土化研究进展综述的标题优化与大纲构建,,中国,,中国,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-3a458121fc3a4cf18103a2d398a32698"", ""object"": ""chat.completion"", ""created"": 1781062333, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 8, ""total_tokens"": 108}}}","{""机构名称"": """", ""国家"": ""中国""}"
机构和国家,关于NSAIDs能否预防异位骨化的基础研究有哪些,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-e2fd0d8d03fb4dc7801c5aaa9f2ce85a"", ""object"": ""chat.completion"", ""created"": 1781062333, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 7, ""total_tokens"": 95}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,代谢综合征的权威诊断标准对比，包括WHO、EGIR、AACE、NCEP-ATP Ⅲ、IDF、中国成人血脂异常防治指南及中华医学会糖尿病学分会（CDS）在内的各机构诊断指标（腰围、体质指数、空腹血糖、甘油三酯、高血压、脂蛋白）及发布年份。,WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）,中国,WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）,中国；中国,"{""data"": {""result"": ""{\""机构名称\"":\""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）\"",\""国家\"":\""中国；中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-af666ac8119b4feb94b3d460ee73aa9b"", ""object"": ""chat.completion"", ""created"": 1781062335, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）\"",\""国家\"":\""中国；中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 151, ""completion_tokens"": 48, ""total_tokens"": 199}}}","{""机构名称"": ""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）"", ""国家"": ""中国；中国""}"
机构和国家,免疫治疗和化疗在治疗PIK3CA突变型转移性结直肠癌患者方面的严重不良事件发生率如何？,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ad55321f7af0417abe2158e4e93b8b53"", ""object"": ""chat.completion"", ""created"": 1781062335, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 99, ""completion_tokens"": 7, ""total_tokens"": 106}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,血液病性关节病的临床诊疗进展、发病机制及相关研究成果，用于浙江省科技进步一等奖申报材料整理。,,浙江省,浙江省科技进步一等奖,中国,"{""data"": {""result"": ""{\""机构名称\"":\""浙江省科技进步一等奖\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-767903ac1b924327842b7dbc5c265634"", ""object"": ""chat.completion"", ""created"": 1781062335, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""浙江省科技进步一等奖\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 12, ""total_tokens"": 110}}}","{""机构名称"": ""浙江省科技进步一等奖"", ""国家"": ""中国""}"
机构和国家,成人短肠综合征诊疗中国专家共识,中国专家,中国,中国专家,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-fa2f00b61a1c48058d7069103bab2f13"", ""object"": ""chat.completion"", ""created"": 1781062335, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 11, ""total_tokens"": 96}}}","{""机构名称"": ""中国专家"", ""国家"": ""中国""}"
