task_type,query,GT_author_name,GT_author_name英文变体,GT_author_institution,PRED_author_name,PRED_author_name英文变体,PRED_author_institution,raw_output,parsed_output
作者和机构,同济大学附属第十人民医院王平医生的学术合作者及密切相关的研究作者有哪些？,王平,"<variant>Wang Ping</variant>
<variant>Ping Wang</variant>
<variant>Wang P.</variant>
<variant>P. Wang</variant>
<variant>Wang, Ping</variant>
<variant>Ping, Wang</variant>
<variant>Wang P</variant>
<variant>Wang-Ping</variant>
<variant>Ping-Wang</variant>
<variant>Wang, P.</variant>",同济大学附属第十人民医院,"王平；Wang Ping；Ping Wang；Wang P.；P. Wang；Wang, Ping；Ping, Wang；Wang Ping-Ping；Wang P. P.；Wang, P.；P., Wang",,同济大学附属第十人民医院,"{""data"": {""result"": ""{\""author_name\"":\""王平；Wang Ping；Ping Wang；Wang P.；P. Wang；Wang, Ping；Ping, Wang；Wang Ping-Ping；Wang P. P.；Wang, P.；P., Wang\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""同济大学附属第十人民医院\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d801def277a54f12be95abf8c28d4c27"", ""object"": ""chat.completion"", ""created"": 1781061774, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""王平；Wang Ping；Ping Wang；Wang P.；P. Wang；Wang, Ping；Ping, Wang；Wang Ping-Ping；Wang P. P.；Wang, P.；P., Wang\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""同济大学附属第十人民医院\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 112, ""completion_tokens"": 70, ""total_tokens"": 182}}}","{""author_name"": ""王平；Wang Ping；Ping Wang；Wang P.；P. Wang；Wang, Ping；Ping, Wang；Wang Ping-Ping；Wang P. P.；Wang, P.；P., Wang"", ""author_name英文变体"": """", ""author_institution"": ""同济大学附属第十人民医院""}"
作者和机构,陈文平医生怎么样,陈文平,"<variant>Chen Wenping</variant>
 <variant>Wenping Chen</variant>
 <variant>Chen Wen-Ping</variant>
 <variant>Wen-Ping Chen</variant>
 <variant>Chen Wen Ping</variant>
 <variant>Wen Ping Chen</variant>
 <variant>Chen, Wenping</variant>
 <variant>Chen, Wen-Ping</variant>
 <variant>Chen, Wen Ping</variant>
 <variant>Chen W.</variant>
 <variant>Chen W</variant>
 <variant>W. Chen</variant>
 <variant>W Chen</variant>
 <variant>Chen WP</variant>
 <variant>Chen W P</variant>
 <variant>W.P. Chen</variant>
 <variant>W. P. Chen</variant>
 <variant>W P Chen</variant>
 <variant>Chen W.-P.</variant>
 <variant>Chen W-P</variant>
 <variant>W.-P. Chen</variant>
 <variant>W-P Chen</variant>
 <variant>C. Wenping</variant>
 <variant>Wenping C.</variant>
 <variant>C. Wen Ping</variant>
 <variant>Wen Ping C.</variant>
 <variant>C. Wen-Ping</variant>
 <variant>Wen-Ping C.</variant>",,"陈文平；Chen Wenping；Wenping Chen；Chen Wen-Ping；Wen-Ping Chen；Chen W. Ping；W. Ping Chen；Chen W. P.；W. P. Chen；Chen, Wenping；Wenping, Chen；Chen, Wen-Ping；Wen-Ping, Chen；Ch'en Wen-ping；Wen-ping Ch'en",,,"{""data"": {""result"": ""{\""author_name\"":\""陈文平；Chen Wenping；Wenping Chen；Chen Wen-Ping；Wen-Ping Chen；Chen W. Ping；W. Ping Chen；Chen W. P.；W. P. Chen；Chen, Wenping；Wenping, Chen；Chen, Wen-Ping；Wen-Ping, Chen；Ch'en Wen-ping；Wen-ping Ch'en\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-0111f21c0ffc4c4aaa6b5d26b3b1ef5b"", ""object"": ""chat.completion"", ""created"": 1781061777, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""陈文平；Chen Wenping；Wenping Chen；Chen Wen-Ping；Wen-Ping Chen；Chen W. Ping；W. Ping Chen；Chen W. P.；W. P. Chen；Chen, Wenping；Wenping, Chen；Chen, Wen-Ping；Wen-Ping, Chen；Ch'en Wen-ping；Wen-ping Ch'en\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 104, ""total_tokens"": 204}}}","{""author_name"": ""陈文平；Chen Wenping；Wenping Chen；Chen Wen-Ping；Wen-Ping Chen；Chen W. Ping；W. Ping Chen；Chen W. P.；W. P. Chen；Chen, Wenping；Wenping, Chen；Chen, Wen-Ping；Wen-Ping, Chen；Ch'en Wen-ping；Wen-ping Ch'en"", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,地中海贫血新药物研究临床试验,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-5f4687eb88e9416ebb11a812c38c1872"", ""object"": ""chat.completion"", ""created"": 1781061777, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 101, ""completion_tokens"": 15, ""total_tokens"": 116}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,"请详细解读文献：Yang JK, Lu J, Yuan SS, et al. From hyperG to hypoinsulinemia and diabetes: effect of KCNH6 on insulin secretion. Cell Reports, 2018, 25(13): 3800-3810.",Yang JK；Lu J；Yuan SS,"<variant>Yang J K</variant>
<variant>J K Yang</variant>
<variant>Yang, J K</variant>
<variant>J. K. Yang</variant>
<variant>J K. Yang</variant>
<variant>J Lu</variant>
<variant>Lu, J</variant>
<variant>J. Lu</variant>
<variant>Yuan S S</variant>
<variant>S S Yuan</variant>
<variant>Yuan, S S</variant>
<variant>S. S. Yuan</variant>",,"Yang JK；Yang J K；J K Yang；Yang, J K；J K, Yang；Lu J；J Lu；Lu, J；Yuan SS；Yuan S S；S S Yuan；Yuan, S S；S S, Yuan",,,"{""data"": {""result"": ""{\""author_name\"":\""Yang JK；Yang J K；J K Yang；Yang, J K；J K, Yang；Lu J；J Lu；Lu, J；Yuan SS；Yuan S S；S S Yuan；Yuan, S S；S S, Yuan\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-366408c510a248d2b2d9fffcddfb9ee6"", ""object"": ""chat.completion"", ""created"": 1781061779, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""Yang JK；Yang J K；J K Yang；Yang, J K；J K, Yang；Lu J；J Lu；Lu, J；Yuan SS；Yuan S S；S S Yuan；Yuan, S S；S S, Yuan\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 159, ""completion_tokens"": 70, ""total_tokens"": 229}}}","{""author_name"": ""Yang JK；Yang J K；J K Yang；Yang, J K；J K, Yang；Lu J；J Lu；Lu, J；Yuan SS；Yuan S S；S S Yuan；Yuan, S S；S S, Yuan"", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,骨髓瘤标准治疗后的贫血治疗临床试验研究,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d6a0b7265b464931bcc64577fb9b215e"", ""object"": ""chat.completion"", ""created"": 1781061779, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 104, ""completion_tokens"": 15, ""total_tokens"": 119}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,Duru N alternative activation macrophages non-coding RNAs radiation-induced lung fibrosis World J Biol Chem 2016,Duru N,"<variant>N. Duru</variant>
<variant>Duru, N</variant>
<variant>Duru N.</variant>
<variant>N Duru</variant>",,"Duru N；N. Duru；Duru, N.；Duru N.；N Duru",,,"{""data"": {""result"": ""{\""author_name\"":\""Duru N；N. Duru；Duru, N.；Duru N.；N Duru\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-95fc2cfdf1b84296a8f56b35340b8d4a"", ""object"": ""chat.completion"", ""created"": 1781061780, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""Duru N；N. Duru；Duru, N.；Duru N.；N Duru\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 122, ""completion_tokens"": 39, ""total_tokens"": 161}}}","{""author_name"": ""Duru N；N. Duru；Duru, N.；Duru N.；N Duru"", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,标准化病人的招聘策略与招募方式有哪些？,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-9bdb0cfe4d684928ac0568911cb14369"", ""object"": ""chat.completion"", ""created"": 1781061781, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 104, ""completion_tokens"": 15, ""total_tokens"": 119}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,韩国天主教大学团队通过单细胞测序发现，RA 患者滑膜成纤维样滑膜细胞（FLSs）中存在 MIF 高表达亚群，MIF 通过结合 CD74，激活 NF-κB 通路，促进滑膜细胞侵袭和关节破坏，而靶向 MIF-CD74 通路的抑制剂（如重组 galectin-9）在动物模型中可显著减轻骨侵蚀，疗效媲美临床常用药物托法替布。CD74可通过胞内段与TRAF6、NF-κB诱导激酶（NIK）结合激活NF-κB通路。同时介导细胞内钙流变化，而钙流是NLRP3炎症小体组装的核心触发信号，提示CD74可能通过NLRP3调控细胞功能。找到这篇原文,韩国天主教大学,<variant>Catholic University of Korea</variant>,韩国天主教大学,韩国天主教大学；The Catholic University of Korea,,韩国天主教大学,"{""data"": {""result"": ""{\""author_name\"":\""韩国天主教大学；The Catholic University of Korea\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""韩国天主教大学\""}""}, ""raw_openai"": {""id"": ""chatcmpl-aab41271045b42039b9635db2039105c"", ""object"": ""chat.completion"", ""created"": 1781061782, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""韩国天主教大学；The Catholic University of Korea\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""韩国天主教大学\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 269, ""completion_tokens"": 28, ""total_tokens"": 297}}}","{""author_name"": ""韩国天主教大学；The Catholic University of Korea"", ""author_name英文变体"": """", ""author_institution"": ""韩国天主教大学""}"
作者和机构,系统性红斑狼疮中Tph细胞与淋巴结构形成的,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-3bc665b9132445e9961037af1615bdbc"", ""object"": ""chat.completion"", ""created"": 1781061782, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 107, ""completion_tokens"": 15, ""total_tokens"": 122}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,"Wadden TA, et al. JAMA. 2021 Apr 13;325(14):1403-1413",Wadden TA,"<variant>T. A. Wadden</variant>
<variant>Wadden, T. A.</variant>
<variant>Wadden T. A.</variant>
<variant>Thomas A. Wadden</variant>
<variant>Wadden, Thomas A.</variant>",,"Wadden TA；T. A. Wadden；Wadden, T. A.；Wadden T. A.；Thomas A. Wadden；Wadden, Thomas A.",,,"{""data"": {""result"": ""{\""author_name\"":\""Wadden TA；T. A. Wadden；Wadden, T. A.；Wadden T. A.；Thomas A. Wadden；Wadden, Thomas A.\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-157092f6267b4ec995856e22f074e0a6"", ""object"": ""chat.completion"", ""created"": 1781061783, ""model"": ""qwen35-0.8b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""Wadden TA；T. A. Wadden；Wadden, T. A.；Wadden T. A.；Thomas A. Wadden；Wadden, Thomas A.\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 131, ""completion_tokens"": 53, ""total_tokens"": 184}}}","{""author_name"": ""Wadden TA；T. A. Wadden；Wadden, T. A.；Wadden T. A.；Thomas A. Wadden；Wadden, Thomas A."", ""author_name英文变体"": """", ""author_institution"": """"}"
