task_type,query,GT_机构名称,GT_国家,PRED_机构名称,PRED_国家,raw_output,parsed_output
机构和国家,肌少症膳食营养处方及运动疗法干预中国专家共识（2025）主要内容及核心要点,,中国,中国专家,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-9c3b35b474c64a85838046c5a6499bca"", ""object"": ""chat.completion"", ""created"": 1781077666, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 11, ""total_tokens"": 111}}}","{""机构名称"": ""中国专家"", ""国家"": ""中国""}"
机构和国家,2026 SSC research or guidelines,SSC,,SSC,,"{""data"": {""result"": ""{\""机构名称\"":\""SSC\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-e9bec8034c9b4c4baa6984ba1c50200d"", ""object"": ""chat.completion"", ""created"": 1781077666, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""SSC\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 10, ""total_tokens"": 95}}}","{""机构名称"": ""SSC"", ""国家"": """"}"
机构和国家,什么样的胰腺癌患者可以接受FOLFIRINOX作为一线治疗?,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-2b3852c28de14942b844b44a0790baf2"", ""object"": ""chat.completion"", ""created"": 1781077666, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 92, ""completion_tokens"": 7, ""total_tokens"": 99}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,中国血脂管理指南2023全文及核心内容,,中国,中国血脂管理指南,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国血脂管理指南\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-66b675fcf56d48edacf5cc0646189980"", ""object"": ""chat.completion"", ""created"": 1781077667, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国血脂管理指南\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 13, ""total_tokens"": 102}}}","{""机构名称"": ""中国血脂管理指南"", ""国家"": ""中国""}"
机构和国家,血清和血浆的区别,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b4c7318d7b484edca95b77a6d89938e1"", ""object"": ""chat.completion"", ""created"": 1781077667, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 81, ""completion_tokens"": 7, ""total_tokens"": 88}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,SPIKES沟通模型在中国医患沟通中的应用效果评价及本土化研究进展综述的标题优化与大纲构建,,中国,,中国,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-09f174dc437f4977816e05365f0d7482"", ""object"": ""chat.completion"", ""created"": 1781077667, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 8, ""total_tokens"": 108}}}","{""机构名称"": """", ""国家"": ""中国""}"
机构和国家,关于NSAIDs能否预防异位骨化的基础研究有哪些,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-032f7cc32dbc4f9198bb0862366eb50c"", ""object"": ""chat.completion"", ""created"": 1781077667, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 7, ""total_tokens"": 95}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,代谢综合征的权威诊断标准对比，包括WHO、EGIR、AACE、NCEP-ATP Ⅲ、IDF、中国成人血脂异常防治指南及中华医学会糖尿病学分会（CDS）在内的各机构诊断指标（腰围、体质指数、空腹血糖、甘油三酯、高血压、脂蛋白）及发布年份。,WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）,中国,WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）,中国；中国,"{""data"": {""result"": ""{\""机构名称\"":\""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）\"",\""国家\"":\""中国；中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-ee6317383cbd4d2d8f8bd1a3604268c9"", ""object"": ""chat.completion"", ""created"": 1781077668, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）\"",\""国家\"":\""中国；中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 151, ""completion_tokens"": 48, ""total_tokens"": 199}}}","{""机构名称"": ""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）"", ""国家"": ""中国；中国""}"
机构和国家,免疫治疗和化疗在治疗PIK3CA突变型转移性结直肠癌患者方面的严重不良事件发生率如何？,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-516191f9c09e448ba407e889bebc9801"", ""object"": ""chat.completion"", ""created"": 1781077669, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 99, ""completion_tokens"": 7, ""total_tokens"": 106}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,血液病性关节病的临床诊疗进展、发病机制及相关研究成果，用于浙江省科技进步一等奖申报材料整理。,,浙江省,浙江省科技进步一等奖,中国,"{""data"": {""result"": ""{\""机构名称\"":\""浙江省科技进步一等奖\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-cf54af2d885b466fb71c7f0fa0ef931f"", ""object"": ""chat.completion"", ""created"": 1781077669, ""model"": ""qwen35-0.8b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""浙江省科技进步一等奖\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 12, ""total_tokens"": 110}}}","{""机构名称"": ""浙江省科技进步一等奖"", ""国家"": ""中国""}"
