task_type,query,GT_机构名称,GT_国家,PRED_机构名称,PRED_国家,raw_output,parsed_output
机构和国家,肌少症膳食营养处方及运动疗法干预中国专家共识（2025）主要内容及核心要点,,中国,中国专家,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-db05c32f1dbc49a990e78034757d2c45"", ""object"": ""chat.completion"", ""created"": 1781079783, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 11, ""total_tokens"": 111}}}","{""机构名称"": ""中国专家"", ""国家"": ""中国""}"
机构和国家,2026 SSC research or guidelines,SSC,,SSC,,"{""data"": {""result"": ""{\""机构名称\"":\""SSC\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-bb33b6d2ed144fa09fbf857fb0d6be47"", ""object"": ""chat.completion"", ""created"": 1781079783, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""SSC\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 10, ""total_tokens"": 95}}}","{""机构名称"": ""SSC"", ""国家"": """"}"
机构和国家,什么样的胰腺癌患者可以接受FOLFIRINOX作为一线治疗?,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-942b711657b840ffb9a2d61b5f811bd7"", ""object"": ""chat.completion"", ""created"": 1781079784, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 92, ""completion_tokens"": 7, ""total_tokens"": 99}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,中国血脂管理指南2023全文及核心内容,,中国,中国血脂管理指南,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国血脂管理指南\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-1df957308ce94a33853d47c54c76edac"", ""object"": ""chat.completion"", ""created"": 1781079785, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国血脂管理指南\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 89, ""completion_tokens"": 13, ""total_tokens"": 102}}}","{""机构名称"": ""中国血脂管理指南"", ""国家"": ""中国""}"
机构和国家,血清和血浆的区别,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-bbd437fced744ccb86faa1e780dc6783"", ""object"": ""chat.completion"", ""created"": 1781079786, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 81, ""completion_tokens"": 7, ""total_tokens"": 88}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,SPIKES沟通模型在中国医患沟通中的应用效果评价及本土化研究进展综述的标题优化与大纲构建,,中国,,中国,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-6370f1740b874ee3bb39b2bc8253acfd"", ""object"": ""chat.completion"", ""created"": 1781079786, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 8, ""total_tokens"": 108}}}","{""机构名称"": """", ""国家"": ""中国""}"
机构和国家,关于NSAIDs能否预防异位骨化的基础研究有哪些,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-2268aad0448f4b5aa2a124ce38495836"", ""object"": ""chat.completion"", ""created"": 1781079787, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 7, ""total_tokens"": 95}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,代谢综合征的权威诊断标准对比，包括WHO、EGIR、AACE、NCEP-ATP Ⅲ、IDF、中国成人血脂异常防治指南及中华医学会糖尿病学分会（CDS）在内的各机构诊断指标（腰围、体质指数、空腹血糖、甘油三酯、高血压、脂蛋白）及发布年份。,WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会（CDS）,中国,WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会,中国,"{""data"": {""result"": ""{\""机构名称\"":\""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-e4654ab6378f47f8be00d06dbccfff89"", ""object"": ""chat.completion"", ""created"": 1781079790, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 151, ""completion_tokens"": 42, ""total_tokens"": 193}}}","{""机构名称"": ""WHO；EGIR；AACE；NCEP-ATP Ⅲ；IDF；中国成人血脂异常防治指南；中华医学会糖尿病学分会"", ""国家"": ""中国""}"
机构和国家,免疫治疗和化疗在治疗PIK3CA突变型转移性结直肠癌患者方面的严重不良事件发生率如何？,,,,,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-c49d3c30d7064e759c9a2ed26a897803"", ""object"": ""chat.completion"", ""created"": 1781079791, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 99, ""completion_tokens"": 7, ""total_tokens"": 106}}}","{""机构名称"": """", ""国家"": """"}"
机构和国家,血液病性关节病的临床诊疗进展、发病机制及相关研究成果，用于浙江省科技进步一等奖申报材料整理。,,浙江省,,浙江省,"{""data"": {""result"": ""{\""机构名称\"":\""\"",\""国家\"":\""浙江省\""}""}, ""raw_openai"": {""id"": ""chatcmpl-dd0c5e73e8f24ae6bc06248ec9aea830"", ""object"": ""chat.completion"", ""created"": 1781079792, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""\"",\""国家\"":\""浙江省\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 98, ""completion_tokens"": 8, ""total_tokens"": 106}}}","{""机构名称"": """", ""国家"": ""浙江省""}"
机构和国家,成人短肠综合征诊疗中国专家共识,,中国,中国专家,中国,"{""data"": {""result"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""raw_openai"": {""id"": ""chatcmpl-1de0743bfb2b419f873136a0309ccead"", ""object"": ""chat.completion"", ""created"": 1781079792, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""中国专家\"",\""国家\"":\""中国\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 85, ""completion_tokens"": 11, ""total_tokens"": 96}}}","{""机构名称"": ""中国专家"", ""国家"": ""中国""}"
机构和国家,请问caca指南对于直肠癌局部复发的建议？,caca,,CACA,,"{""data"": {""result"": ""{\""机构名称\"":\""CACA\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a0a8dd571be84198a6de6c8082ce4f6c"", ""object"": ""chat.completion"", ""created"": 1781079793, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""CACA\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 88, ""completion_tokens"": 10, ""total_tokens"": 98}}}","{""机构名称"": ""CACA"", ""国家"": """"}"
机构和国家,tatme在临床的普及率是多少？,,,tatme,,"{""data"": {""result"": ""{\""机构名称\"":\""tatme\"",\""国家\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-a0bf97d4fe5949178564150030aab254"", ""object"": ""chat.completion"", ""created"": 1781079794, ""model"": ""qwen35-4b-org-country"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""机构名称\"":\""tatme\"",\""国家\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 86, ""completion_tokens"": 10, ""total_tokens"": 96}}}","{""机构名称"": ""tatme"", ""国家"": """"}"
