task_type,query,GT_data_type,PRED_data_type,raw_output,parsed_output
data_type,检索关于“门静脉广泛癌栓”患者的鉴别诊断流程，要求证据为“近10年血管外科或肝胆外科临床指南”中关于“血管”病变（癌栓）的“红旗征象”或“排除标准”，或“近3年发表于IF≥5期刊、关于其诊断策略与结局的真实世界研究或系统评价”。,Meta分析/系统性综述,Meta分析/系统性综述,"{""data"": {""result"": ""{\""data_type\"":\""Meta分析/系统性综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b606336a9b6f4243af64c9b97b8dd8a9"", ""object"": ""chat.completion"", ""created"": 1781079620, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""Meta分析/系统性综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 165, ""completion_tokens"": 10, ""total_tokens"": 175}}}","{""data_type"": ""Meta分析/系统性综述""}"
data_type,请输出2023年发表的特应性皮炎的病例报告,病例系列/病例报告,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b8eb7740860f46c1968958ba70ad0ff1"", ""object"": ""chat.completion"", ""created"": 1781079621, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 104, ""completion_tokens"": 5, ""total_tokens"": 109}}}","{""data_type"": """"}"
data_type,肝癌的高危因素有哪些？,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b828fc2d0a3447bf9c695e3ea7e970aa"", ""object"": ""chat.completion"", ""created"": 1781079621, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 96, ""completion_tokens"": 5, ""total_tokens"": 101}}}","{""data_type"": """"}"
data_type,国内外老年人跌倒评估的护理指南中，智能预警技术是如何被推荐和应用的？研究类型：Review。发布时间：2021年-至今。影响因子(IF)值:无限制。,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-b4b632e7f9684fcc87e59c1c64e8d992"", ""object"": ""chat.completion"", ""created"": 1781079622, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 132, ""completion_tokens"": 6, ""total_tokens"": 138}}}","{""data_type"": ""综述""}"
data_type,EGFR用于nsclc 靶向辅助治疗的临床研究证据是什么,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-bce4d81ef4714b868f9848723c93d5f9"", ""object"": ""chat.completion"", ""created"": 1781079622, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 102, ""completion_tokens"": 5, ""total_tokens"": 107}}}","{""data_type"": """"}"
data_type,在急性颈髓病变中，如何通过MRI影像学特征（如病灶形态、信号强度、增强模式、DWI表现）区分急性硬膜外血肿、脊髓内血肿、脊髓梗死与脊髓脓肿？近3年的外部验证研究或诊断试验荟萃分析是否提供了这些特征的诊断准确性（敏感度、特异度、似然比）？,Meta分析/系统性综述,Meta分析/系统性综述,"{""data"": {""result"": ""{\""data_type\"":\""Meta分析/系统性综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-faed60c7ea584fb5beb6e7dd09bbdfef"", ""object"": ""chat.completion"", ""created"": 1781079623, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""Meta分析/系统性综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 164, ""completion_tokens"": 10, ""total_tokens"": 174}}}","{""data_type"": ""Meta分析/系统性综述""}"
data_type,2023年欧洲感染性心内膜炎诊治指南有哪些更新,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-211109fdac2a4ed19385e9e951629a77"", ""object"": ""chat.completion"", ""created"": 1781079624, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 105, ""completion_tokens"": 5, ""total_tokens"": 110}}}","{""data_type"": """"}"
data_type,法布雷病筛查策略和高危人群识别的最新指南和建议？研究类型：Review。发布时间：近5年。影响因子(IF)值:无限制。,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-083df61d90c44eb89aabe06736268f9f"", ""object"": ""chat.completion"", ""created"": 1781079624, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 123, ""completion_tokens"": 6, ""total_tokens"": 129}}}","{""data_type"": ""综述""}"
data_type,不适合移植的套细胞淋巴瘤患者有哪些一线治疗选择?,,,"{""data"": {""result"": ""{\""data_type\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-d06564cb8e144ee2a722a4b067f89d0a"", ""object"": ""chat.completion"", ""created"": 1781079624, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 102, ""completion_tokens"": 5, ""total_tokens"": 107}}}","{""data_type"": """"}"
data_type,减重手术 效率指标 结局指标 相关性分析 回归模型 应用 近5年 综述,综述,综述,"{""data"": {""result"": ""{\""data_type\"":\""综述\""}""}, ""raw_openai"": {""id"": ""chatcmpl-8af20a32ede94b2c8763bbbe62e84783"", ""object"": ""chat.completion"", ""created"": 1781079625, ""model"": ""qwen35-4b-data-type"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""data_type\"":\""综述\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 113, ""completion_tokens"": 6, ""total_tokens"": 119}}}","{""data_type"": ""综述""}"
