task_type,query,GT_author_name,GT_author_name英文变体,GT_author_institution,PRED_author_name,PRED_author_name英文变体,PRED_author_institution,raw_output,parsed_output
作者和机构,同济大学附属第十人民医院王平医生的学术合作者及密切相关的研究作者有哪些？,王平,"<variant>Wang Ping</variant>
<variant>Ping Wang</variant>
<variant>Wang P.</variant>
<variant>P. Wang</variant>
<variant>Wang, Ping</variant>
<variant>Ping, Wang</variant>
<variant>Wang P</variant>
<variant>Wang-Ping</variant>
<variant>Ping-Wang</variant>
<variant>Wang, P.</variant>",同济大学附属第十人民医院,王平,"<variant>Wang Ping</variant>
<variant>Ping Wang</variant>
<variant>Wang, Ping</variant>
<variant>P. Wang</variant>
<variant>Wang P.</variant>
<variant>Wang Ping-Ping</variant>
<variant>Ping-Ping Wang</variant>
<variant>Wang, Ping-Ping</variant>
<variant>P. P. Wang</variant>
<variant>Wang, P.</variant>",同济大学附属第十人民医院,"{""data"": {""result"": ""{\""author_name\"":\""王平\"",\""author_name英文变体\"":\""<variant>Wang Ping</variant>\\n<variant>Ping Wang</variant>\\n<variant>Wang, Ping</variant>\\n<variant>P. Wang</variant>\\n<variant>Wang P.</variant>\\n<variant>Wang Ping-Ping</variant>\\n<variant>Ping-Ping Wang</variant>\\n<variant>Wang, Ping-Ping</variant>\\n<variant>P. P. Wang</variant>\\n<variant>Wang, P.</variant>\"",\""author_institution\"":\""同济大学附属第十人民医院\""}""}, ""raw_openai"": {""id"": ""chatcmpl-212f05d484734a5da6d39b33e0256f92"", ""object"": ""chat.completion"", ""created"": 1781078058, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""王平\"",\""author_name英文变体\"":\""<variant>Wang Ping</variant>\\n<variant>Ping Wang</variant>\\n<variant>Wang, Ping</variant>\\n<variant>P. Wang</variant>\\n<variant>Wang P.</variant>\\n<variant>Wang Ping-Ping</variant>\\n<variant>Ping-Ping Wang</variant>\\n<variant>Wang, Ping-Ping</variant>\\n<variant>P. P. Wang</variant>\\n<variant>Wang, P.</variant>\"",\""author_institution\"":\""同济大学附属第十人民医院\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 112, ""completion_tokens"": 129, ""total_tokens"": 241}}}","{""author_name"": ""王平"", ""author_name英文变体"": ""<variant>Wang Ping</variant>\n<variant>Ping Wang</variant>\n<variant>Wang, Ping</variant>\n<variant>P. Wang</variant>\n<variant>Wang P.</variant>\n<variant>Wang Ping-Ping</variant>\n<variant>Ping-Ping Wang</variant>\n<variant>Wang, Ping-Ping</variant>\n<variant>P. P. Wang</variant>\n<variant>Wang, P.</variant>"", ""author_institution"": ""同济大学附属第十人民医院""}"
作者和机构,陈文平医生怎么样,陈文平,"<variant>Chen Wenping</variant>
 <variant>Wenping Chen</variant>
 <variant>Chen Wen-Ping</variant>
 <variant>Wen-Ping Chen</variant>
 <variant>Chen Wen Ping</variant>
 <variant>Wen Ping Chen</variant>
 <variant>Chen, Wenping</variant>
 <variant>Chen, Wen-Ping</variant>
 <variant>Chen, Wen Ping</variant>
 <variant>Chen W.</variant>
 <variant>Chen W</variant>
 <variant>W. Chen</variant>
 <variant>W Chen</variant>
 <variant>Chen WP</variant>
 <variant>Chen W P</variant>
 <variant>W.P. Chen</variant>
 <variant>W. P. Chen</variant>
 <variant>W P Chen</variant>
 <variant>Chen W.-P.</variant>
 <variant>Chen W-P</variant>
 <variant>W.-P. Chen</variant>
 <variant>W-P Chen</variant>
 <variant>C. Wenping</variant>
 <variant>Wenping C.</variant>
 <variant>C. Wen Ping</variant>
 <variant>Wen Ping C.</variant>
 <variant>C. Wen-Ping</variant>
 <variant>Wen-Ping C.</variant>",,陈文平,"<variant>Chen Wenping</variant>
<variant>Wenping Chen</variant>
<variant>Chen Wen-Ping</variant>
<variant>Wen-Ping Chen</variant>
<variant>C. Wenping</variant>
<variant>Chen, Wenping</variant>
<variant>C. Wen-Ping</variant>
<variant>Chen Wen Ping</variant>
<variant>Wen Ping Chen</variant>
<variant>C. Wen Ping</variant>
<variant>Wen-Ping, Chen</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""陈文平\"",\""author_name英文变体\"":\""<variant>Chen Wenping</variant>\\n<variant>Wenping Chen</variant>\\n<variant>Chen Wen-Ping</variant>\\n<variant>Wen-Ping Chen</variant>\\n<variant>C. Wenping</variant>\\n<variant>Chen, Wenping</variant>\\n<variant>C. Wen-Ping</variant>\\n<variant>Chen Wen Ping</variant>\\n<variant>Wen Ping Chen</variant>\\n<variant>C. Wen Ping</variant>\\n<variant>Wen-Ping, Chen</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-6fb7ca12cda3491283020fc920f1e132"", ""object"": ""chat.completion"", ""created"": 1781078069, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""陈文平\"",\""author_name英文变体\"":\""<variant>Chen Wenping</variant>\\n<variant>Wenping Chen</variant>\\n<variant>Chen Wen-Ping</variant>\\n<variant>Wen-Ping Chen</variant>\\n<variant>C. Wenping</variant>\\n<variant>Chen, Wenping</variant>\\n<variant>C. Wen-Ping</variant>\\n<variant>Chen Wen Ping</variant>\\n<variant>Wen Ping Chen</variant>\\n<variant>C. Wen Ping</variant>\\n<variant>Wen-Ping, Chen</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 100, ""completion_tokens"": 143, ""total_tokens"": 243}}}","{""author_name"": ""陈文平"", ""author_name英文变体"": ""<variant>Chen Wenping</variant>\n<variant>Wenping Chen</variant>\n<variant>Chen Wen-Ping</variant>\n<variant>Wen-Ping Chen</variant>\n<variant>C. Wenping</variant>\n<variant>Chen, Wenping</variant>\n<variant>C. Wen-Ping</variant>\n<variant>Chen Wen Ping</variant>\n<variant>Wen Ping Chen</variant>\n<variant>C. Wen Ping</variant>\n<variant>Wen-Ping, Chen</variant>"", ""author_institution"": """"}"
作者和机构,地中海贫血新药物研究临床试验,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-82ff52733f454807b877bcd61babf96f"", ""object"": ""chat.completion"", ""created"": 1781078070, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 101, ""completion_tokens"": 15, ""total_tokens"": 116}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,"请详细解读文献：Yang JK, Lu J, Yuan SS, et al. From hyperG to hypoinsulinemia and diabetes: effect of KCNH6 on insulin secretion. Cell Reports, 2018, 25(13): 3800-3810.",Yang JK；Lu J；Yuan SS,"<variant>Yang J K</variant>
<variant>J K Yang</variant>
<variant>Yang, J K</variant>
<variant>J. K. Yang</variant>
<variant>J K. Yang</variant>
<variant>J Lu</variant>
<variant>Lu, J</variant>
<variant>J. Lu</variant>
<variant>Yuan S S</variant>
<variant>S S Yuan</variant>
<variant>Yuan, S S</variant>
<variant>S. S. Yuan</variant>",,Yang JK；Lu J；Yuan SS,"<variant>Yang J. K.</variant>
<variant>J. K. Yang</variant>
<variant>Yang, J. K.</variant>
<variant>J. K., Yang</variant>
<variant>Yang J K</variant>
<variant>J K Yang</variant>
<variant>Lu, J.</variant>
<variant>J. Lu</variant>
<variant>Lu J</variant>
<variant>Yuan S. S.</variant>
<variant>S. S. Yuan</variant>
<variant>Yuan, S. S.</variant>
<variant>S. S., Yuan</variant>
<variant>Yuan S S</variant>
<variant>S S Yuan</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""Yang JK；Lu J；Yuan SS\"",\""author_name英文变体\"":\""<variant>Yang J. K.</variant>\\n<variant>J. K. Yang</variant>\\n<variant>Yang, J. K.</variant>\\n<variant>J. K., Yang</variant>\\n<variant>Yang J K</variant>\\n<variant>J K Yang</variant>\\n<variant>Lu, J.</variant>\\n<variant>J. Lu</variant>\\n<variant>Lu J</variant>\\n<variant>Yuan S. S.</variant>\\n<variant>S. S. Yuan</variant>\\n<variant>Yuan, S. S.</variant>\\n<variant>S. S., Yuan</variant>\\n<variant>Yuan S S</variant>\\n<variant>S S Yuan</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-61e5d97147e44dbfb83362d040d2db0e"", ""object"": ""chat.completion"", ""created"": 1781078084, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""Yang JK；Lu J；Yuan SS\"",\""author_name英文变体\"":\""<variant>Yang J. K.</variant>\\n<variant>J. K. Yang</variant>\\n<variant>Yang, J. K.</variant>\\n<variant>J. K., Yang</variant>\\n<variant>Yang J K</variant>\\n<variant>J K Yang</variant>\\n<variant>Lu, J.</variant>\\n<variant>J. Lu</variant>\\n<variant>Lu J</variant>\\n<variant>Yuan S. S.</variant>\\n<variant>S. S. Yuan</variant>\\n<variant>Yuan, S. S.</variant>\\n<variant>S. S., Yuan</variant>\\n<variant>Yuan S S</variant>\\n<variant>S S Yuan</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 159, ""completion_tokens"": 184, ""total_tokens"": 343}}}","{""author_name"": ""Yang JK；Lu J；Yuan SS"", ""author_name英文变体"": ""<variant>Yang J. K.</variant>\n<variant>J. K. Yang</variant>\n<variant>Yang, J. K.</variant>\n<variant>J. K., Yang</variant>\n<variant>Yang J K</variant>\n<variant>J K Yang</variant>\n<variant>Lu, J.</variant>\n<variant>J. Lu</variant>\n<variant>Lu J</variant>\n<variant>Yuan S. S.</variant>\n<variant>S. S. Yuan</variant>\n<variant>Yuan, S. S.</variant>\n<variant>S. S., Yuan</variant>\n<variant>Yuan S S</variant>\n<variant>S S Yuan</variant>"", ""author_institution"": """"}"
作者和机构,骨髓瘤标准治疗后的贫血治疗临床试验研究,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-9aff980a7fec49cd85e9345de52efa5f"", ""object"": ""chat.completion"", ""created"": 1781078085, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 104, ""completion_tokens"": 15, ""total_tokens"": 119}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,Duru N alternative activation macrophages non-coding RNAs radiation-induced lung fibrosis World J Biol Chem 2016,Duru N,"<variant>N. Duru</variant>
<variant>Duru, N</variant>
<variant>Duru N.</variant>
<variant>N Duru</variant>",,Duru N,"<variant>N. Duru</variant>
<variant>Duru, N.</variant>
<variant>N., Duru</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""Duru N\"",\""author_name英文变体\"":\""<variant>N. Duru</variant>\\n<variant>Duru, N.</variant>\\n<variant>N., Duru</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-2e1d3a3e7f364c1d86494415b049886e"", ""object"": ""chat.completion"", ""created"": 1781078089, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""Duru N\"",\""author_name英文变体\"":\""<variant>N. Duru</variant>\\n<variant>Duru, N.</variant>\\n<variant>N., Duru</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 122, ""completion_tokens"": 49, ""total_tokens"": 171}}}","{""author_name"": ""Duru N"", ""author_name英文变体"": ""<variant>N. Duru</variant>\n<variant>Duru, N.</variant>\n<variant>N., Duru</variant>"", ""author_institution"": """"}"
作者和机构,标准化病人的招聘策略与招募方式有哪些？,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-8778811eec7848a2b8097c06114b2c0d"", ""object"": ""chat.completion"", ""created"": 1781078090, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 104, ""completion_tokens"": 15, ""total_tokens"": 119}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,韩国天主教大学团队通过单细胞测序发现，RA 患者滑膜成纤维样滑膜细胞（FLSs）中存在 MIF 高表达亚群，MIF 通过结合 CD74，激活 NF-κB 通路，促进滑膜细胞侵袭和关节破坏，而靶向 MIF-CD74 通路的抑制剂（如重组 galectin-9）在动物模型中可显著减轻骨侵蚀，疗效媲美临床常用药物托法替布。CD74可通过胞内段与TRAF6、NF-κB诱导激酶（NIK）结合激活NF-κB通路。同时介导细胞内钙流变化，而钙流是NLRP3炎症小体组装的核心触发信号，提示CD74可能通过NLRP3调控细胞功能。找到这篇原文,,,韩国天主教大学,韩国天主教大学,<variant>Catholic University of Korea</variant>,韩国天主教大学,"{""data"": {""result"": ""{\""author_name\"":\""韩国天主教大学\"",\""author_name英文变体\"":\""<variant>Catholic University of Korea</variant>\"",\""author_institution\"":\""韩国天主教大学\""}""}, ""raw_openai"": {""id"": ""chatcmpl-36cfd0be71b44b3882d62a8ca020ef64"", ""object"": ""chat.completion"", ""created"": 1781078093, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""韩国天主教大学\"",\""author_name英文变体\"":\""<variant>Catholic University of Korea</variant>\"",\""author_institution\"":\""韩国天主教大学\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 269, ""completion_tokens"": 33, ""total_tokens"": 302}}}","{""author_name"": ""韩国天主教大学"", ""author_name英文变体"": ""<variant>Catholic University of Korea</variant>"", ""author_institution"": ""韩国天主教大学""}"
作者和机构,系统性红斑狼疮中Tph细胞与淋巴结构形成的,,,,,,,"{""data"": {""result"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-42ebcd7f1c8240508c3f838ec607e493"", ""object"": ""chat.completion"", ""created"": 1781078094, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""\"",\""author_name英文变体\"":\""\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 107, ""completion_tokens"": 15, ""total_tokens"": 122}}}","{""author_name"": """", ""author_name英文变体"": """", ""author_institution"": """"}"
作者和机构,"Wadden TA, et al. JAMA. 2021 Apr 13;325(14):1403-1413",Wadden TA,"<variant>T. A. Wadden</variant>
<variant>Wadden, T. A.</variant>
<variant>Wadden T. A.</variant>
<variant>Thomas A. Wadden</variant>
<variant>Wadden, Thomas A.</variant>",,Wadden TA,"<variant>T. A. Wadden</variant>
<variant>Wadden, T. A.</variant>
<variant>Wadden T</variant>
<variant>T Wadden</variant>
<variant>Wadden, T</variant>",,"{""data"": {""result"": ""{\""author_name\"":\""Wadden TA\"",\""author_name英文变体\"":\""<variant>T. A. Wadden</variant>\\n<variant>Wadden, T. A.</variant>\\n<variant>Wadden T</variant>\\n<variant>T Wadden</variant>\\n<variant>Wadden, T</variant>\"",\""author_institution\"":\""\""}""}, ""raw_openai"": {""id"": ""chatcmpl-6f64bbe3561241d58be34aa0c3ec068d"", ""object"": ""chat.completion"", ""created"": 1781078100, ""model"": ""qwen35-4b-author-org"", ""choices"": [{""index"": 0, ""message"": {""role"": ""assistant"", ""content"": ""{\""author_name\"":\""Wadden TA\"",\""author_name英文变体\"":\""<variant>T. A. Wadden</variant>\\n<variant>Wadden, T. A.</variant>\\n<variant>Wadden T</variant>\\n<variant>T Wadden</variant>\\n<variant>Wadden, T</variant>\"",\""author_institution\"":\""\""}""}, ""finish_reason"": ""stop""}], ""usage"": {""prompt_tokens"": 131, ""completion_tokens"": 74, ""total_tokens"": 205}}}","{""author_name"": ""Wadden TA"", ""author_name英文变体"": ""<variant>T. A. Wadden</variant>\n<variant>Wadden, T. A.</variant>\n<variant>Wadden T</variant>\n<variant>T Wadden</variant>\n<variant>Wadden, T</variant>"", ""author_institution"": """"}"
